outcome_cleaner,outcome_category,significant,parameter_clean,author,year,doi,country,study_design,number_of_patients,extracorporeal,renal_function,patient_characteristics1,betalactam_studied
weight,Patient characteristics,yes,CL,Chen,2020,https://dx.doi.org/10.1128/AAC.00385-20,China,retrospective PK study,247,ECMO,unclear,ECMO,imipenem
age,Patient characteristics,no,NA,Chen,2020,https://dx.doi.org/10.1128/AAC.00385-20,China,retrospective PK study,247,ECMO,unclear,ECMO,imipenem
AST,Biomarkers,no,NA,Chen,2020,https://dx.doi.org/10.1128/AAC.00385-20,China,retrospective PK study,247,ECMO,unclear,ECMO,imipenem
CRRT,Organ dysfunction/support,no,NA,Chen,2020,https://dx.doi.org/10.1128/AAC.00385-20,China,retrospective PK study,247,ECMO,unclear,ECMO,imipenem
creatinine clearance,Physiological parameters,no,NA,Westermann,2021,https://dx.doi.org/10.1111/bcp.14846,Germany,prospective PK study,25,RRT,impaired,CRRT,meropenem
BMI,Patient characteristics,yes,V,Cheng,2021,https://dx.doi.org/10.1128/AAC.01438-21,International,prospective PK study,27,"ECMO, RRT",impaired,ECMO,piperacillin
age,Patient characteristics,no,NA,Cheng,2021,https://dx.doi.org/10.1128/AAC.01438-21,International,prospective PK study,27,"ECMO, RRT",impaired,ECMO,piperacillin
APACHE,Disease severity score,no,NA,Cheng,2021,https://dx.doi.org/10.1128/AAC.01438-21,International,prospective PK study,27,"ECMO, RRT",impaired,ECMO,piperacillin
ECMO parameters,Extracorporeal parameters,no,NA,Cheng,2021,https://dx.doi.org/10.1128/AAC.01438-21,International,prospective PK study,27,"ECMO, RRT",impaired,ECMO,piperacillin
ECMO parameters,Extracorporeal parameters,no,NA,Cheng,2021,https://dx.doi.org/10.1128/AAC.01438-21,International,prospective PK study,27,"ECMO, RRT",impaired,ECMO,piperacillin
serum creatinine,Biomarkers,no,NA,Cheng,2021,https://dx.doi.org/10.1128/AAC.01438-21,International,prospective PK study,27,"ECMO, RRT",impaired,ECMO,piperacillin
SOFA,Disease severity score,no,NA,Cheng,2021,https://dx.doi.org/10.1128/AAC.01438-21,International,prospective PK study,27,"ECMO, RRT",impaired,ECMO,piperacillin
weight,Patient characteristics,no,NA,Cheng,2021,https://dx.doi.org/10.1128/AAC.01438-21,International,prospective PK study,27,"ECMO, RRT",impaired,ECMO,piperacillin
creatinine clearance,Physiological parameters,NA,CL,Felton,2014,https://dx.doi.org/10.1128/AAC.02664-14,UK,retrospective PK study,146,no,unclear,general ICU,piperacillin
weight,Patient characteristics,yes,V,Cheng,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106466,International,prospective PK study,6,ECMO,unclear,ECMO,cefepime
age,Patient characteristics,no,NA,Cheng,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106466,International,prospective PK study,6,ECMO,unclear,ECMO,cefepime
APACHE,Disease severity score,no,NA,Cheng,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106466,International,prospective PK study,6,ECMO,unclear,ECMO,cefepime
BMI,Patient characteristics,no,NA,Cheng,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106466,International,prospective PK study,6,ECMO,unclear,ECMO,cefepime
ECMO parameters,Extracorporeal parameters,no,NA,Cheng,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106466,International,prospective PK study,6,ECMO,unclear,ECMO,cefepime
serum creatinine,Biomarkers,no,NA,Cheng,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106466,International,prospective PK study,6,ECMO,unclear,ECMO,cefepime
SOFA,Disease severity score,no,NA,Cheng,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106466,International,prospective PK study,6,ECMO,unclear,ECMO,cefepime
creatinine clearance,Physiological parameters,yes,CL,Abdul-Aziz,2016,https://dx.doi.org/10.1128/AAC.01543-15,Malaysia,prospective PK study,12,no,normal,sepsis,doripenem
CRRT,Organ dysfunction/support,yes,CL,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
serum albumin,Biomarkers,yes,V,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
weight,Patient characteristics,yes,V,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
age,Patient characteristics,no,NA,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
APACHE,Disease severity score,no,NA,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
BMI,Patient characteristics,no,NA,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
ECMO parameters,Extracorporeal parameters,no,NA,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
ECMO parameters,Extracorporeal parameters,no,NA,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
serum creatinine,Biomarkers,no,NA,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
SOFA,Disease severity score,no,NA,Cheng,2022,https://dx.doi.org/10.1007/s40262-021-01106-x,International,prospective PK study,14,"ECMO, RRT",impaired,ECMO,ceftriaxone
creatinine clearance,Physiological parameters,yes,Ke,Al-Shaer,2020,https://dx.doi.org/10.1128/AAC.00745-20,USA,retrospective PK study,230,no,normal,general ICU,cefepime
location,Other,yes,V,Chung,2017,https://dx.doi.org/10.1177/1060028016676831,USA,prospective PK study,20,no,normal,obesity,doripenem
weight,Patient characteristics,yes,V,Chung,2017,https://dx.doi.org/10.1177/1060028016676831,USA,prospective PK study,20,no,normal,obesity,doripenem
age,Patient characteristics,no,NA,Chung,2017,https://dx.doi.org/10.1177/1060028016676831,USA,prospective PK study,20,no,normal,obesity,doripenem
BMI,Patient characteristics,no,NA,Chung,2017,https://dx.doi.org/10.1177/1060028016676831,USA,prospective PK study,20,no,normal,obesity,doripenem
sex,Patient characteristics,no,NA,Chung,2017,https://dx.doi.org/10.1177/1060028016676831,USA,prospective PK study,20,no,normal,obesity,doripenem
weight,Patient characteristics,no,NA,Chung,2017,https://dx.doi.org/10.1177/1060028016676831,USA,prospective PK study,20,no,normal,obesity,doripenem
weight,Patient characteristics,no,NA,Chung,2017,https://dx.doi.org/10.1177/1060028016676831,USA,prospective PK study,20,no,normal,obesity,doripenem
creatinine clearance,Physiological parameters,yes,CL,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
weight,Patient characteristics,yes,V,Cojutti,2021,https://dx.doi.org/10.3389/fphar.2021.781892,Italy,retrospective PK study,74,no,normal,general ICU,meropenem
height,Patient characteristics,no,NA,Cojutti,2021,https://dx.doi.org/10.3389/fphar.2021.781892,Italy,retrospective PK study,74,no,normal,general ICU,meropenem
sex,Patient characteristics,no,NA,Cojutti,2021,https://dx.doi.org/10.3389/fphar.2021.781892,Italy,retrospective PK study,74,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,CL,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
mechanical ventilation,Organ dysfunction/support,yes,V,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
serum creatinine,Biomarkers,yes,V,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
sex,Patient characteristics,yes,V,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
age,Patient characteristics,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
alkaline reserve,Other,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
ALP,Biomarkers,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
ALT,Biomarkers,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
Baux index,Other,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
BUN,Biomarkers,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
oxygenation,Organ dysfunction/support,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
pCO2,Biomarkers,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
serum protein,Biomarkers,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
serum sodium,Biomarkers,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
TBSA,Patient characteristics,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
Tobiasen index,Other,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
weight,Patient characteristics,no,NA,Conil,2007,https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,France,prospective PK study,50,no,unclear,burns,ceftazidime
creatinine clearance,Physiological parameters,yes,CL,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
serum albumin,Biomarkers,yes,V,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
weight,Patient characteristics,yes,V,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
age,Patient characteristics,no,NA,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
oedema,Other,no,NA,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
oxygenation,Organ dysfunction/support,no,NA,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
PEEP,Organ dysfunction/support,no,NA,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
SAPS,Disease severity score,no,NA,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
sepsis,Organ dysfunction/support,no,NA,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
sex,Patient characteristics,no,NA,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
SOFA,Disease severity score,no,NA,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
weight,Patient characteristics,no,NA,Couffignal,2014,https://dx.doi.org/10.1111/bcp.12435,France,prospective PK study,63,no,normal,VAP,imipenem
creatinine clearance,Physiological parameters,yes,CL,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
weight,Patient characteristics,yes,V,Crandon,2011,https://dx.doi.org/10.1007/s00134-010-2105-0,USA,prospective PK study,26,no,unclear,general ICU,meropenem
age,Patient characteristics,no,NA,Crandon,2011,https://dx.doi.org/10.1007/s00134-010-2105-0,USA,prospective PK study,26,no,unclear,general ICU,meropenem
APACHE,Disease severity score,no,NA,Crandon,2011,https://dx.doi.org/10.1007/s00134-010-2105-0,USA,prospective PK study,26,no,unclear,general ICU,meropenem
ethnicity,Patient characteristics,no,NA,Crandon,2011,https://dx.doi.org/10.1007/s00134-010-2105-0,USA,prospective PK study,26,no,unclear,general ICU,meropenem
sex,Patient characteristics,no,NA,Crandon,2011,https://dx.doi.org/10.1007/s00134-010-2105-0,USA,prospective PK study,26,no,unclear,general ICU,meropenem
GFR,Physiological parameters,yes,Ke,de Velde,2020,https://dx.doi.org/10.1007/s40262-020-00859-1,Switzerland,retrospective PK study,26,no,normal,severe bacterial infection,imipenem
weight,Patient characteristics,no,NA,de Velde,2020,https://dx.doi.org/10.1007/s40262-020-00859-1,Switzerland,retrospective PK study,26,no,normal,severe bacterial infection,imipenem
weight,Patient characteristics,no,NA,de Velde,2020,https://dx.doi.org/10.1007/s40262-020-00859-1,Switzerland,retrospective PK study,26,no,normal,severe bacterial infection,imipenem
weight,Patient characteristics,no,NA,de Velde,2020,https://dx.doi.org/10.1007/s40262-020-00859-1,Switzerland,retrospective PK study,26,no,normal,severe bacterial infection,imipenem
amikacin,Other,no,CL,Delattre,2012,https://dx.doi.org/10.1016/j.clinbiochem.2012.03.030,Belgium,prospective PK study,88,no,normal,sepsis,"piperacillin, ceftazidime, cefepime, meropenem"
amikacin,Other,no,CL,Delattre,2012,https://dx.doi.org/10.1016/j.clinbiochem.2012.03.030,Belgium,prospective PK study,88,no,normal,sepsis,"piperacillin, ceftazidime, cefepime, meropenem"
renal function,Physiological parameters,no,CL,Delattre,2012,https://dx.doi.org/10.1016/j.clinbiochem.2012.03.030,Belgium,prospective PK study,88,no,normal,sepsis,"piperacillin, ceftazidime, cefepime, meropenem"
amikacin,Other,no,V,Delattre,2012,https://dx.doi.org/10.1016/j.clinbiochem.2012.03.030,Belgium,prospective PK study,88,no,normal,sepsis,"piperacillin, ceftazidime, cefepime, meropenem"
amikacin,Other,no,V,Delattre,2012,https://dx.doi.org/10.1016/j.clinbiochem.2012.03.030,Belgium,prospective PK study,88,no,normal,sepsis,"piperacillin, ceftazidime, cefepime, meropenem"
creatinine clearance,Physiological parameters,yes,CL,Bastida,2020,https://dx.doi.org/10.1093/jac/dkaa362,Spain,prospective PK study,54,no,unclear,liver failure,meropenem
APACHE,Disease severity score,no,NA,Dhaese,2018,https://dx.doi.org/10.1016/j.ijantimicag.2017.12.015,Belgium,prospective PK study,110,no,normal,general ICU,piperacillin
serum albumin,Biomarkers,no,NA,Dhaese,2018,https://dx.doi.org/10.1016/j.ijantimicag.2017.12.015,Belgium,prospective PK study,110,no,normal,general ICU,piperacillin
serum bilirubin,Biomarkers,no,NA,Dhaese,2018,https://dx.doi.org/10.1016/j.ijantimicag.2017.12.015,Belgium,prospective PK study,110,no,normal,general ICU,piperacillin
SOFA,Disease severity score,no,NA,Dhaese,2018,https://dx.doi.org/10.1016/j.ijantimicag.2017.12.015,Belgium,prospective PK study,110,no,normal,general ICU,piperacillin
weight,Patient characteristics,no,NA,Dhaese,2018,https://dx.doi.org/10.1016/j.ijantimicag.2017.12.015,Belgium,prospective PK study,110,no,normal,general ICU,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Bhalodi,2013,https://dx.doi.org/10.1345/aph.1R789,USA,prospective PK study,25,no,normal,general ICU,doripenem
creatinine clearance,Physiological parameters,yes,CL,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
GFR,Physiological parameters,no,NA,Dhaese,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.08.024,Belgium,prospective PK study,17,no,normal,general ICU,piperacillin
serum albumin,Biomarkers,no,NA,Dhaese,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.08.024,Belgium,prospective PK study,17,no,normal,general ICU,piperacillin
SOFA,Disease severity score,no,NA,Dhaese,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.08.024,Belgium,prospective PK study,17,no,normal,general ICU,piperacillin
weight,Patient characteristics,no,NA,Dhaese,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.08.024,Belgium,prospective PK study,17,no,normal,general ICU,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
age,Patient characteristics,no,NA,Dhaese,2019,https://dx.doi.org/10.1093/jac/dky434,Belgium,prospective PK study,68,no,normal,general ICU,meropenem
APACHE,Disease severity score,no,NA,Dhaese,2019,https://dx.doi.org/10.1093/jac/dky434,Belgium,prospective PK study,68,no,normal,general ICU,meropenem
BMI,Patient characteristics,no,NA,Dhaese,2019,https://dx.doi.org/10.1093/jac/dky434,Belgium,prospective PK study,68,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,CL,Burger,2018,https://dx.doi.org/10.1093/jac/dky370,Switzerland,prospective PK study,86,RRT,impaired,CRRT,meropenem
serum albumin,Biomarkers,no,NA,Dhaese,2019,https://dx.doi.org/10.1093/jac/dky434,Belgium,prospective PK study,68,no,normal,general ICU,meropenem
sex,Patient characteristics,no,NA,Dhaese,2019,https://dx.doi.org/10.1093/jac/dky434,Belgium,prospective PK study,68,no,normal,general ICU,meropenem
SOFA,Disease severity score,no,NA,Dhaese,2019,https://dx.doi.org/10.1093/jac/dky434,Belgium,prospective PK study,68,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,Dhaese,2019,https://dx.doi.org/10.1093/jac/dky434,Belgium,prospective PK study,68,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,yes,CL,Burkhardt,2007,https://dx.doi.org/10.1093/jac/dkl485,Germany,prospective PK study,17,no,normal,VAP,ertapenem
age,Patient characteristics,no,NA,Dinh,2022,https://dx.doi.org/10.2147/IDR.S373348,Vietnam,prospective PK study,24,no,normal,general ICU,imipenem
location,Other,no,NA,Dinh,2022,https://dx.doi.org/10.2147/IDR.S373348,Vietnam,prospective PK study,24,no,normal,general ICU,imipenem
mechanical ventilation,Organ dysfunction/support,no,NA,Dinh,2022,https://dx.doi.org/10.2147/IDR.S373348,Vietnam,prospective PK study,24,no,normal,general ICU,imipenem
serum albumin,Biomarkers,no,NA,Dinh,2022,https://dx.doi.org/10.2147/IDR.S373348,Vietnam,prospective PK study,24,no,normal,general ICU,imipenem
sex,Patient characteristics,no,NA,Dinh,2022,https://dx.doi.org/10.2147/IDR.S373348,Vietnam,prospective PK study,24,no,normal,general ICU,imipenem
vasopressor use,Organ dysfunction/support,no,NA,Dinh,2022,https://dx.doi.org/10.2147/IDR.S373348,Vietnam,prospective PK study,24,no,normal,general ICU,imipenem
weight,Patient characteristics,no,NA,Dinh,2022,https://dx.doi.org/10.2147/IDR.S373348,Vietnam,prospective PK study,24,no,normal,general ICU,imipenem
ARC,Physiological parameters,no,CL,Dreesen,2022,https://dx.doi.org/10.1093/jac/dkac209,Belgium,prospective PK study,33,no,normal,pneumonia,ceftriaxone
ARC,Physiological parameters,yes,CL,Dreesen,2022,https://dx.doi.org/10.1093/jac/dkac209,Belgium,prospective PK study,33,no,normal,pneumonia,ceftriaxone
creatinine clearance,Physiological parameters,yes,CL,Carlier,2013,https://dx.doi.org/10.1093/jac/dkt240,Belgium,prospective PK study,13,no,normal,general ICU,amoxicillin
GFR,Physiological parameters,yes,CL,Dreesen,2022,https://dx.doi.org/10.1093/jac/dkac209,Belgium,prospective PK study,33,no,normal,pneumonia,ceftriaxone
serum creatinine,Biomarkers,no,CL,Dreesen,2022,https://dx.doi.org/10.1093/jac/dkac209,Belgium,prospective PK study,33,no,normal,pneumonia,ceftriaxone
weight,Patient characteristics,no,"CL, V",Dreesen,2022,https://dx.doi.org/10.1093/jac/dkac209,Belgium,prospective PK study,33,no,normal,pneumonia,ceftriaxone
serum albumin,Biomarkers,no,protein binding,Dreesen,2022,https://dx.doi.org/10.1093/jac/dkac209,Belgium,prospective PK study,33,no,normal,pneumonia,ceftriaxone
age,Patient characteristics,yes,CL,Economou,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.027,Australia,prospective PK study,6,RRT,impaired,CRRT,ticarcillin
creatinine clearance,Physiological parameters,yes,CL,Carlier,2014,https://dx.doi.org/10.1093/jac/dku195,Belgium,prospective PK study,20,no,normal,general ICU,cefuroxime
serum creatinine,Biomarkers,yes,CL,Economou,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.027,Australia,prospective PK study,6,RRT,impaired,CRRT,ticarcillin
CRRT,Organ dysfunction/support,no,NA,Economou,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.027,Australia,prospective PK study,6,RRT,impaired,CRRT,ticarcillin
sex,Patient characteristics,no,NA,Economou,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.027,Australia,prospective PK study,6,RRT,impaired,CRRT,ticarcillin
weight,Patient characteristics,no,NA,Economou,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.027,Australia,prospective PK study,6,RRT,impaired,CRRT,ticarcillin
cholinesterase,Biomarkers,yes,CL,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
creatinine clearance,Physiological parameters,yes,CL,Chauzy,2019,https://dx.doi.org/10.1093/jac/dky489,France,prospective PK study,11,no,unclear,CNS infection,ceftaroline
factor V,Biomarkers,yes,CL,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
HR,Vital signs,yes,CL,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
hydrogencarbonate,Biomarkers,yes,CL,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
serum urea,Biomarkers,yes,CL,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
age,Patient characteristics,yes,V,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
lactate,Biomarkers,yes,V,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
sex,Patient characteristics,yes,V,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
weight,Patient characteristics,yes,V,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
cardiovascular system,Vital signs,yes,"V, CL",Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
serum bilirubin,Biomarkers,yes,V,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
CRP,Biomarkers,yes,V,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
pH,Biomarkers,yes,V,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
serum albumin,Biomarkers,yes,V,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
antithrombin,Biomarkers,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
ARDS,Organ dysfunction/support,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
BP,Vital signs,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
CD64 index,Biomarkers,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
creatinine clearance,Physiological parameters,yes,CL,Chauzy,2022,https://dx.doi.org/10.1093/jac/dkac299,France,prospective PK study,18,no,augmented,pneumonia,ceftaroline
ECMO,Organ dysfunction/support,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
fibrinogen,Biomarkers,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
IL-6,Biomarkers,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
lung transplant,Organ dysfunction/support,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
peritonitis,Organ dysfunction/support,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
serum creatinine,Biomarkers,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
serum sodium,Biomarkers,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
creatinine clearance,Physiological parameters,yes,CL,Cheatham,2014,https://dx.doi.org/10.1002/jcph.196,USA,prospective PK study,9,no,normal,obesity,meropenem
creatinine clearance,Physiological parameters,yes,CL,Chen,2020,https://dx.doi.org/10.1128/AAC.00385-20,China,retrospective PK study,247,ECMO,unclear,ECMO,imipenem
infusion volume,Other,no,NA,Eisert,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106289,Germany,prospective PK study,32,RRT,impaired,septic shock,meropenem
study site,Other,no,NA,Eisert,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106289,Germany,prospective PK study,32,RRT,impaired,septic shock,meropenem
weight,Patient characteristics,no,NA,Eisert,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106289,Germany,prospective PK study,32,RRT,impaired,septic shock,meropenem
weight,Patient characteristics,no,NA,Eisert,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106289,Germany,prospective PK study,32,RRT,impaired,septic shock,meropenem
age,Patient characteristics,NA,"CL, V",Eyler,2014,https://dx.doi.org/10.1128/AAC.02090-12,USA,prospective PK study,8,RRT,impaired,CRRT,ertapenem
